name,slug,country,region,subregion,latitude,longitude,elevation_base_m,elevation_summit_m,aspect,vertical_drop_m,num_runs,season_start_month,season_end_month,timezone,website_url
Jackson Hole,jackson-hole,US,North America,Wyoming,43.5875,-110.8279,1924,3185,NW,1261,116,11,4,America/Denver,https://www.jacksonhole.com
Mammoth Mountain,mammoth-mountain,US,North America,California,37.6308,-119.0326,2424,3369,SW,945,150,11,6,America/Los_Angeles,https://www.mammothmountain.com
Big Sky,big-sky,US,North America,Montana,45.2863,-111.4015,2090,3403,N,1313,300,11,4,America/Denver,https://www.bigskyresort.com
Steamboat,steamboat,US,North America,Colorado,40.4572,-106.8044,2103,3221,N,1118,169,11,4,America/Denver,https://www.steamboat.com
Sun Valley,sun-valley,US,North America,Idaho,43.6961,-114.3517,1752,2793,NW,1041,121,11,4,America/Denver,https://www.sunvalley.com
Telluride,telluride,US,North America,Colorado,37.9363,-107.8540,2660,3943,N,1283,148,11,4,America/Denver,https://www.telluride.com
Breckenridge,breckenridge,US,North America,Colorado,39.4817,-106.0384,2926,3963,N,1037,187,11,4,America/Denver,https://www.breckenridge.com
Keystone,keystone,US,North America,Colorado,39.6064,-105.9483,2835,3658,N,823,135,10,4,America/Denver,https://www.keystoneresort.com
Copper Mountain,copper-mountain,US,North America,Colorado,39.5022,-106.1497,2927,3753,N,826,163,11,4,America/Denver,https://www.coppercolorado.com
Crested Butte,crested-butte,US,North America,Colorado,38.8978,-106.9654,2857,3706,NE,849,121,11,4,America/Denver,https://www.skicb.com
Taos Ski Valley,taos-ski-valley,US,North America,New Mexico,36.5953,-105.4452,2804,3804,N,1000,110,11,4,America/Denver,https://www.skitaos.com
Alta,alta,US,North America,Utah,40.5881,-111.6378,2601,3216,N,615,116,11,4,America/Denver,https://www.alta.com
Snowbird,snowbird,US,North America,Utah,40.5830,-111.6558,2469,3352,N,883,169,11,5,America/Denver,https://www.snowbird.com
Deer Valley,deer-valley,US,North America,Utah,40.6374,-111.4783,2103,2918,NE,815,103,12,4,America/Denver,https://www.deervalley.com
Solitude Mountain,solitude-mountain,US,North America,Utah,40.6199,-111.5919,2445,3280,N,835,82,11,4,America/Denver,https://www.solitudemountain.com
Brighton,brighton,US,North America,Utah,40.5985,-111.5831,2664,3264,N,600,66,11,4,America/Denver,https://www.brightonresort.com
Snowbasin,snowbasin,US,North America,Utah,41.2158,-111.8566,1982,2927,N,945,107,12,4,America/Denver,https://www.snowbasin.com
