name,slug,country,region,subregion,latitude,longitude,elevation_base_m,elevation_summit_m,aspect,vertical_drop_m,num_runs,season_start_month,season_end_month,timezone,website_url
Vail,vail,US,Rocky Mountains,Colorado,39.6403,-106.3742,2457,3527,S,1070,195,11,4,America/Denver,https://www.vail.com
Aspen Snowmass,aspen-snowmass,US,Rocky Mountains,Colorado,39.1881,-106.8223,2474,3813,N,1339,362,11,4,America/Denver,https://www.aspensnowmass.com
Breckenridge,breckenridge,US,Rocky Mountains,Colorado,39.4817,-106.0684,2926,3962,S,1036,187,11,4,America/Denver,https://www.breckenridge.com
Telluride,telluride,US,Rocky Mountains,Colorado,37.9375,-107.8544,2657,4115,N,1225,148,11,4,America/Denver,https://www.telluride.com
Steamboat,steamboat,US,Rocky Mountains,Colorado,40.4566,-106.8044,2103,3221,S,1118,169,11,4,America/Denver,https://www.steamboat.com
Arapahoe Basin,arapahoe-basin,US,Rocky Mountains,Colorado,39.6426,-105.8715,3286,4006,E,720,148,10,6,America/Denver,https://www.arapahoebasin.com
Keystone,keystone,US,Rocky Mountains,Colorado,39.6067,-105.9450,2835,3658,S,823,135,11,4,America/Denver,https://www.keystoneresort.com
Crested Butte,crested-butte,US,Rocky Mountains,Colorado,38.8973,-106.9645,2857,3707,E,850,121,11,4,America/Denver,https://www.skicrestedbutte.com
Copper Mountain,copper-mountain,US,Rocky Mountains,Colorado,39.5020,-106.1534,2927,3752,S,825,149,11,4,America/Denver,https://www.coppercolorado.com
Loveland,loveland,US,Rocky Mountains,Colorado,39.6797,-105.8983,3226,3787,S,561,94,10,4,America/Denver,https://www.skiloveland.com
Winter Park,winter-park,US,Rocky Mountains,Colorado,39.8864,-105.7625,2752,3978,S,1226,167,11,4,America/Denver,https://www.winterparkresort.com
Purgatory,purgatory,US,Rocky Mountains,Colorado,37.6285,-107.8159,2609,3264,NE,655,105,11,4,America/Denver,https://www.purgatoryresort.com
Wolf Creek,wolf-creek,US,Rocky Mountains,Colorado,37.4759,-106.7938,2987,3658,S,671,77,10,4,America/Denver,https://www.wolfcreekski.com
